Timestamp;Brand;Age;Buying_Price;Camera;Battery;Screen_Size;Condition;Proposed_Sell_Price;Broken_Screen;Internal Storage Size in Gigabytes (GB)
12/9/2015 18:05:55;Samsung;8;160;5;24;4,5;7;2000;No;8
2/10/2016 22:20:50;Sony ;19;207;4;12;3,5;8;3000;No;5
12/3/2015 18:33:11;Samsung;9;250;2;4;3,5;5;200;No;2
2/9/2016 13:32:25;Nokia;19;650;2;14;3,5;9;400;No;1
11/3/2015 15:56:41;Vodafone;13;699;2;10;3,2;7;450;No;4
11/3/2015 15:53:58;Samsung;1;750;3;30;3,5;10;730;No;8
2/10/2016 8:17:43;Samsung;6;800;4;8;3,5;9;650;No;4
2/9/2016 16:07:43;Nokia;36;800;1;24;3,5;5;300;No;1
12/1/2015 13:56:51;Nokia;48;800;0,31;48;2,4;7;300;No;0,049
11/3/2015 15:34:22;ZTE;8;850;2;16;4;3;500;No;4
2/10/2016 10:04:30;Vodafone;5;900;5;6;4,5;6;500;Yes;4
12/11/2015 13:01:53;BlackBerry;48;900;2;6;3,5;4;350;No;2
2/9/2016 10:42:54;Vodafone;6;1000;4;5;3,5;7;700;Yes;2
2/9/2016 23:21:15;Apple;16;1000;4;16;4,5;8;900;No;16
2/9/2016 8:52:58;BlackBerry;23;1000;3;10;3,5;4;400;No;3
2/9/2016 12:53:04;Nokia;25;1000;5;24;4,5;7;4000;No;16
12/11/2015 11:06:02;Samsung;36;1000;3;24;3,5;3;500;No;4
12/1/2015 13:02:36;Nokia;5;1300;2;48;2,5;2;500;No;1
11/3/2015 15:31:13;Huawei;17;1300;3;3;3,5;5;900;No;4
12/3/2015 21:22:30;Hisense;4;1500;8;10;4,5;6;800;No;8
12/11/2015 9:22:16;Samsung;5;1500;5;12;4,3;10;1450;No;4
2/9/2016 12:52:18;Huawei;16;1500;3;18;4;7;600;No;2
2/9/2016 12:41:17;Samsung;24;1500;5;5;3,5;9;1200;No;4
2/9/2016 14:09:04;Samsung;26;1500;5;5;4,5;6;1500;No;8
11/6/2015 15:00:06;Nokia;2;1700;5;20;5,1;10;1400;No;8
2/9/2016 11:19:15;Huawei;5;1700;8;12;4,5;8;1500;No;2
2/9/2016 12:56:32;Nokia;5;1700;5;24;5;9;1400;No;8
2/9/2016 13:15:17;Samsung;17;1799;2;8;3,5;8;1100;No;4
11/4/2015 13:19:17;Nokia;8;1800;5;48;4;7;650;Yes;8
2/9/2016 12:56:52;Samsung;14;1800;5;5;4;5;800;No;4
11/3/2015 15:44:41;Alcatel onetouch;21;1800;5;6;5,5;2;1000;No;32
2/11/2016 10:27:18;Nokia;21;1800;5;24;3,5;8;1300;No;4
2/9/2016 9:02:16;Samsung;12;2000;5;12;3,5;6;900;No;8
9/30/2015 16:44:33;Samsung;15;2000;5;8;3,1;7;1200;No;
2/9/2016 8:43:32;Huawei;17;2000;2;24;4,5;8;800;No;1
2/9/2016 13:11:11;Samsung;18;2000;5;12;4;8;1000;No;4
12/1/2015 13:48:52;Apple;20;2000;8;15;3,5;7;1000;No;16
2/9/2016 16:12:36;Nokia;24;2000;2;5;4;7;2000;No;8
2/9/2016 12:42:09;Sony ;36;2000;4;5;4;8;1590;Yes;5
2/9/2016 11:44:29;Infinix;2;2014;13;72;5,5;9;1695;No;16
12/3/2015 17:30:12;Azpen;6;2200;2;12;5,5;7;900;No;6
2/9/2016 15:35:52;Samsung;12;2299;5;12;4;8;1700;Yes;16
2/10/2016 22:37:23;Samsung;2;2300;8;8;4,5;8;2000;No;8
2/9/2016 12:59:21;Samsung;3;2300;5;13;4,7;10;2350;No;8
11/3/2015 15:25:50;Nokia;36;2300;8;22;3,7;3;1200;No;8
2/9/2016 13:01:33;Samsung;3;2400;5;19;4,7;10;2350;No;8
12/3/2015 21:25:21;BlackBerry;1;2500;5;24;5;10;2495;No;8
2/11/2016 9:49:46;BlackBerry;3;2500;4;6;4,5;9;2000;No;3
1/15/2016 14:21:43;Nokia;4;2500;5;10;3,5;7;1200;Yes;8
10/27/2015 9:27:02;Motorola;5;2500;8;18;5;9;1500;No;
11/6/2015 16:19:13;Samsung;12;2500;5;24;4,5;10;1500;No;8
2/9/2016 13:16:47;BlackBerry;16;2500;2;6;4,5;7;1500;No;4
12/3/2015 18:48:52;BlackBerry;18;2500;8;48;4,5;4;1500;No;8
2/9/2016 12:55:38;BlackBerry;24;2500;5;3;3,5;7;1000;No;16
11/4/2015 15:22:24;Samsung;1;2600;13;1;5,5;5;3000;No;16
11/6/2015 15:13:54;Sony ;6;2700;5;12;4,5;6;2000;Yes;2
11/6/2015 15:13:23;Sony ;8;2800;8;8;5,5;10;2500;No;4
10/14/2015 8:15:35;Samsung;0;3000;1;4;3,5;7;800;No;
11/4/2015 20:18:03;Apple;6;3000;16;2;4,5;10;2,5;No;8
11/7/2015 20:53:24;Samsung;7;3000;5;8;4,5;5;2600;No;8
11/4/2015 8:12:55;BlackBerry;8;3000;5;12;4,2;6;2500;No;6
11/4/2015 17:47:27;BlackBerry;8;3000;3;12;4,2;5;2500;No;4
2/13/2016 10:23:27;Nokia;11;3000;1,6;2;4;5;1500;Yes;8
11/4/2015 9:30:48;BlackBerry;13;3000;5;3;4,5;9;2000;No;5
2/9/2016 13:57:17;Samsung;14;3000;13;7;4,5;10;2500;No;8
11/3/2015 15:59:05;Samsung;24;3000;5;12;3,5;8;2500;No;16
11/6/2015 19:09:58;BlackBerry;36;3000;5;12;3,6;3;1500;No;6,2
2/11/2016 9:35:08;LG;5;3310;8;10;4,5;10;3000;No;8
11/3/2015 15:23:31;Samsung;2;3800;5;3;5;5;2000;No;8
2/8/2016 18:58:13;Samsung;26;3800;5;2;5;3;1000;No;16
11/3/2015 15:52:12;Samsung;6;4000;8;10;4;7;2900;No;16
11/4/2015 9:54:13;Sony ;6;4000;8;12;5;10;3500;No;8
11/4/2015 9:54:55;Sony ;6;4000;8;12;5;10;3500;No;8
12/4/2015 11:43:49;BlackBerry;9;4000;3;6;4;4;1500;No;4
12/4/2015 9:19:44;Sony ;11;4000;8;24;4,5;7;3000;No;5
2/9/2016 8:40:16;Xiaomi;11;4000;13;18;3,5;10;3000;No;16
2/8/2016 15:58:04;Samsung;24;4000;10;18;3,5;2;300;Yes;8
2/9/2016 13:15:21;Sony ;12;4200;13;6;5,5;8;2000;No;8
2/9/2016 23:14:49;Samsung;4;4500;5;8;10;9;4100;Yes;8
12/11/2015 11:01:20;Sony ;8;4500;15;9;3,4;9;4000;No;8
2/9/2016 13:17:44;Sony ;25;4500;5;6;4,5;3;600;Yes;4
2/9/2016 16:12:33;Huawei;7;4700;5;13;5,5;10;3900;No;8
10/14/2015 13:06:31;Huawei;18;4900;13;24;5;7;2000;No;
